,regions
0,Basic cell groups and regions
1,Cerebrum
2,Cerebral cortex
3,Cortical plate
4,Isocortex
5,Frontal association cortex
6,"Frontal pole, layer 1"
7,"Frontal pole, layer 2/3"
8,"Frontal pole, layer 5"
9,motor cortex
10,Primary motor cortex
11,Primary motor cortex Layer 1
12,Primary motor cortex Layer 2/3
13,Primary motor cortex Layer 5
14,Primary motor cortex Layer 6a
15,Primary motor cortex Layer 6b
16,"Frontal cortex, area 3"
17,"Frontal cortex, area 3, layer1"
18,"Frontal cortex, area 3, layer2/3"
19,"Frontal cortex, area 3, layer5"
20,"Frontal cortex, area 3, layer6a"
21,"Frontal cortex, area 3, layer6b"
22,Secondary motor cortex
23,"Secondary motor cortex, layer 1"
24,"Secondary motor cortex, layer 2/3"
25,"Secondary motor cortex, layer 5"
26,"Secondary motor cortex, layer 6a"
27,"Secondary motor cortex, layer 6b"
28,Somatosensory cortex
29,Primary somatosensory cortex
30,Primary somatosensory cortex layer 1
31,Primary somatosensory cortex layer 2/3
32,Primary somatosensory cortex layer 4
33,Primary somatosensory cortex layer 5
34,Primary somatosensory cortex layer 6a
35,Primary somatosensory cortex layer 6b
36,"Primary somatosensory area, jaw"
37,"Primary somatosensory area, jaw, layer 1"
38,"Primary somatosensory area, jaw, layer 2/3"
39,"Primary somatosensory area, jaw, layer 4"
40,"Primary somatosensory area, jaw, layer 5"
41,"Primary somatosensory area, jaw, layer 6a"
42,"Primary somatosensory area, jaw, layer 6b"
50,"Primary somatosensory cortex, barrel field"
51,"Primary somatosensory cortex, barrel field, layer 1"
52,"Primary somatosensory cortex, barrel field, layer 2/3"
53,"Primary somatosensory cortex, barrel field, layer 4"
54,"Primary somatosensory cortex, barrel field, layer 5 "
55,"Primary somatosensory cortex, barrel field, layer 6a"
56,"Primary somatosensory cortex, barrel field, layer 6b"
57,"Primary somatosensory cortex, hindlimb region"
58,"Primary somatosensory cortex, hindlimb region, layer 1"
59,"Primary somatosensory cortex, hindlimb region, layer 2/3"
60,"Primary somatosensory cortex, hindlimb region, layer 4"
61,"Primary somatosensory cortex, hindlimb region, layer 5"
62,"Primary somatosensory cortex, hindlimb region, layer 6a"
63,"Primary somatosensory cortex, hindlimb region, layer 6b"
64,"Primary somatosensory cortex, upper lip region"
65,"Primary somatosensory cortex, upper lip region, layer 1"
66,"Primary somatosensory cortex, upper lip region, layer 2/3"
67,"Primary somatosensory cortex, upper lip region, layer 4"
68,"Primary somatosensory cortex, upper lip region, layer 5"
69,"Primary somatosensory cortex, upper lip region, layer 6a"
